Collection_Head,Name,Text,Year,Start,End,Loc,Page_drawer,Drawer_No,Link,Coll_head,Collection,Author_Identity,Country,Continent
"Daniels, Thomas Cowper","Daniels, Thomas Cowper","Daniels, Thomas Cowper Papers, 1889 (1889-1894) 1933  New Bern, Craven Co,, and Durham, Durham Co., N. C.  XVII-A 2 vols, 7=-9-59",1889-1894,1889,1894,,553,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n553,1,3377,Male,Unknown,Unknown
"Danner, Jacob S.","Danner, Jacob S.","Danner, Jacob 8S. 6356 - 6361  Ledgers, 1833 - 1869 <—  Middleburg, Loudoun Co., Va.  6 vols.",1833 - 1869,1833,1869,"Middleburg, Va.",559,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n559,1,3380,Male,USA,North America
"Danner, Jacob S.","Danner, Jacob S.","Danner, Jacob 8, Ledger, 1833 - 1837 Middleburg, Loudoun Co., Va. 406pp. Calf & Boards 26 x 37 com, 9=29=50",1833 - 1837,1833,1837,"Middleburg, Va. 406pp",560,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n560,1,3381,Male,USA,North America
"Danner, Jacob S.","Danner, Jacob S.","Danner, Jacob 8S, Ledger, 1833 - 1836 Middleburg, Loudoun Co., Va. 536pp. Calf & Boards 26 x 37 cm, 9-29-50",1833 - 1836,1833,1836,"Middleburg, Va.",561,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n561,1,3382,Male,USA,North America
"Danner, Jacob S.","Danner, Jacob S.","Danner, Jacob 58, Ledger, 1842 - 1843 Middleburg, Loudoun Co., Va, 204pp. Calf & Boards 21 x 33 4 om, 9-29-50",1842 - 1843,1842,1843,"Middleburg, Va, 204pp",562,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n562,1,3383,Male,USA,North America
"Danner, Jacob S.","Danner, Jacob S.","Danner, Jacob 8S, [_- 6359 Ledger, 1842 = 1843 Middleburg, Loudoun Co., Va. 3llpp. Calf & Boards 20 x 31 cm, 9=29=50",1842 = 1843,1842,1843,Middleburg,563,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n563,1,3384,Male,USA,North America
"Danner, Jacob S.","Danner, Jacob S.","Danner, Jacob 5S, L- 6360 Ledger, 1848 - 1851 Middleburg, Loudoun Co., Va. 606pp, Calf & Boards 20 x 31 cm, 9=-29=50",1848 - 1851,1848,1851,"Middleburg, Va. 606pp",564,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n564,1,3385,Male,USA,North America
"Danner, Jacob S.","Danner, Jacob S.","Danner, Jacob S, Ledger, 1853 - 1869 Middleburg, Loudoun Co., Va. 543pp. Calf & Boards 27 4 x 40 4 on. 9=29=-50",1853 - 1869,1853,1869,"Middleburg, Va.",565,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n565,1,3386,Male,USA,North America
"Dantzler, Absalom F.","Dantzler, Absalom F.","DANTZLER, Absalom F  Letters, 1840-78  Jasper County, Miss,  Cab. 45  MiVe  287 pieces",1840-78,1840,1878,Jasper County,566,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n566,1,3387,Male,USA,North America
"Danvers, Alane","Danvers, Alane","Danvers, Alane  yeuseets 1892-1897~-  Ve  British engineer; son of Frederick Charles Danverse  Autograph journal of Alan Danvers, British engineer resident in Lisbon, and close friend of the African explorer, Verney Lovett Cameron, who is mentioned frequently in the journale Topics chiefly concern the attempts to gain concessions from Portuguese ministers and to organize potentially profitable African companiese Other details concern Lisbon social lLifee Prominent names mentioned are the British envoy to Portugal, Sir George retrrs® the King of Portugal; and Sir Harry Johnston, the  11 JAN 96 34015009 NDHYme SEE NEXT CRD",1892-1897,1892,1897,"Lisbon, Portugal",576,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n576,1,3389,Male,USA,North America
"Danyell, Arthur Johnson","Danyell, Arthur Johnson","Danyell, Arthur Johnson Scrapbook, 1862-1864 England  104 pp. Cloth and Boards  XVIII-E  6-1-62  20 x 16 cm.",1862-1864,1862,1864,,580,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n580,1,3391,Male,Unknown,Unknown
"Darby, John Curtis","Darby, John Curtis","Darby, John Curtis.
Medical Notebook, 1839-1846.
Lexington, Fayette Co., Ky.
320 pp. Boards. 24| x 19 cm.
Josiah C. Trent Collection in the
History of Medicine—MS.:. Div.
4-8-6",1839-1846,1839,1846,Ky.,588,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n588,1,3392,Male,USA,North America
D'Arcy Masius Benton & Bowles,D'Arcy Masius Benton & Bowles,"D’Arcy Masius Benton & Bowles. Records, 1970s-1989. 35 items (0.8 lin. ft.)  Shelf location: 32:G:7 Restricted  Histories of the Benton & Bowles and D’Arcy McManus Masius agencies that merged in 1985 to form DMB&B; several research reports, press clippings, annual reports; videotaped history of the agencies; and miscellaneous items.  Gift: 8/1/90  Accessioned: 8/14/90  Acc. No.: 90-088",1970s-1989,1970,1989,,590,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n590,1,3393,Org.,Unknown,Unknown
"Dart, U., Sr.","Dart, U., Sr.","Dart, U., Sr. Land and Tax Records, 1838-1869  Brunswick, Glynn County, Ga.  146 pp. Boards 55 5-4 x 21 cm,  This volume contains a list of Tories in Georgia whose property was confiscated during the Revolution,  10-12-54 -_  GUIDE",1838-1869,1838,1869,"Glynn County, Ga., Georgia",598,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n598,1,3397,Unknown,USA,North America
"Darwin, Charles Robert","Darwin, Charles Robert","Darwin, Charles Robert Papers, 1868-1881 Down, Beckenham, Kent, England  Josiah C, Trent Collection in the History of Medicine--. Div,  4-38-60",1868-1881,1868,1881,Beckenham,600,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n600,1,3399,Male,USA,North America
"Dasher, Jane Elizabeth","Dasher, Jane Elizabeth","Dasher, Jane Elizabeth Papers, 1803-1863 Effingham Co. 9 Ga.  Section A 3 items  19 items added 1-4-44 11-15-56  3-11-58 GUIDE 10 items added",1803-1863,1803,1863,Ga.,605,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n605,1,3402,Female,USA,North America
"Daugherty, Helen J. (Thompson) Sawyer","Daugherty, Helen J. (Thompson) Sawyer","Daugherty, Helen J. (Thompson) Sawyer Papers, 1849-1892 Edenton, Chowan Co.,  Cab. 79 94 items  57 items added, 4-29-44 Recataloged, 7-2-69 23 items added, 7-2-69",1849-1892,1849,1892,,608,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n608,1,3403,Female,Unknown,Unknown
Daughters of the American Revolution,Daughters of the American Revolution,"e 6th 23°C Daughters of the American Revolutione pap ense 19848-1949. 535 itemse De Ae Re chapters from Washington, DC and surrounding arease Collection consists of press relations records of at least fifty— mine chapters of the De Ace Re in Washington and the surrounding areae They reveal that not all the releases tor the press about the meetings and other activities of the chapters were published in the Washington newspaperse Unprocessed collectione Cataloged from accession recordse  les  NcD 27 NOV 96 36009706 NDHYme",1948-1949,1948,1949,"Washington, DC, Washington",615,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n615,1,3405,Org.,USA,North America
"Davenport, Guy","Davenport, Guy","Davenport, Guye  Publications, 1988,13990-  2 itemse  Author e  Two volumes (Fall, 1988 and Fall, 1990) of the SANTA MONICA REVIEW containing articles by Davenporte The short stories are entitled, ""A Gingham Dress"" and ""Belinda's World Toure""  1e Short stories, American--20th  centurye =  27 SEP 94 31182357 NDHYme",1988-1990,1988,1990,Davenport,619,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n619,1,3407,Male,USA,North America
"Davenport, Henry B.","Davenport, Henry B.","— M-Sss Davenport, Henry B (4 Notes on Spanish and French Literature, 1858, Charlottesville, Virginia  Sept. 24, 1935,  [Davenport was born in 1831 in Jefferson Co., Va,,and was a student at the University of Va in 1850-51 when these notes were made. He lat served in the Confederate army,and became a farmer near Charlestown, West Va.]",1850-51,1850,1851,"Charlottesville, Virginia, Charlestown, West Va.",620,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n620,1,3408,Male,USA,North America
"Davenport, Ira","Davenport, Ira","Davenport, Ira Papers, 1828-1842 Hornellsville, Stuben Co., N. Y. Section A 7 items  6-15-59",1828-1842,1828,1842,"Davenport, Hornellsville",621,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n621,1,3409,Female,USA,North America
"Davidson, Ephraim Bank","Davidson, Ephraim Bank","Davidson, Ephraim Bank Book, 1825-1828 Iredell co., N. C.  70 pp. Calf 4-7-38  12 x 19 om.",1825-1828,1825,1828,,624,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n624,1,3410,Male,Unknown,Unknown
"Davidson, George F.","Davidson, George F.","DAVIDSON, George F. Letters and Papers. 1748-1887,  Iredell County, North Carolina.  5 boxes Cab. Sb 1660 pieces (Entered in the National Unicon Catalog of  as Davidson Family Papers.)  AY > 1) (gt €",1748-1887,1748,1887,"Iredell County, North Carolina",625,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n625,1,3411,Male,USA,North America
"Davidson, George F.","Davidson, George F.","ico. tag »» [Davidson, George F.]  Account Book. 1867-1869 Iredell County, N,C. 60 pp. Cait",1867-1869,1867,1869,Iredell County,630,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n630,1,3412,Male,USA,North America
"Davidson, George F.","Davidson, George F.","heecaiee Reem 122 Davidson, George F.  Account Book. 1867-1869 Statesville, N.C.  Calf. 8 x 16 cm",1867-1869,1867,1869,"Statesville, N.C.",631,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n631,1,3413,Male,USA,North America
"Davidson, George F.","Davidson, George F.","nee. Sk. ’ [Davidson, George F.]  Accounts. 1849-1854 Iredell County, N.C.  30 pp. Calf. 12 x 19 cm.  APR 7 1938",1849-1854,1849,1854,"Iredell County, N.C.",632,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n632,1,3414,Male,USA,North America
"Davidson, George F.","Davidson, George F.","122° - * [Davidson, George F.]  Accounts « Diary. 1840 - 1845 Iredell County, N.C. 70 pp. Calf 10 x 15 ecm.  APR 7 1938  =z,",1840 - 1845,1840,1845,"Iredell County, N.C.",635,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n635,1,3416,Male,USA,North America
"Davidson, George F.","Davidson, George F.","GES lcs Davidson, George F.  Acc unts & Diary. 1856-1858 Iredell County, N.C.  100 pp. Calf",1856-1858,1856,1858,"Iredell County, N.C.",636,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n636,1,3417,Male,USA,North America
"Davidson, George F.","Davidson, George F.","Trvneure Rooms [Davidson, George F.]  Day Book. 1834-1835 [Iredell County, N.C.]  637 pp. 16 x 38 cn.",1834-1835,1834,1835,"Iredell County, N.C.",638,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n638,1,3419,Male,USA,North America
"Davidson, George F.","Davidson, George F.","—— ey  122  (Davidson, George F,]  Diary & Accounts. 1833-1838 Iredell County, N.C.  60 pp. 9 x 15 em",1833-1838,1833,1838,"Iredell County, N.C.",640,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n640,1,3421,Male,USA,North America
"Davidson, George F.","Davidson, George F.","leo [Davidson, George F.]  Diary & Accounts. 1859 - 1866.  Iredell County, N.C.  120 pp. Calf. 8 x 12 ecm.  Al N ¢ 193",1859 - 1866,1859,1866,"Iredell County, N.C.",642,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n642,1,3423,Male,USA,North America
"Davidson, George F.","Davidson, George F.","Sg. Treneore Room  [Davidson, George F.] Ledger. 1829-1835 Iredell County, North Carolina  350 pp. Boards & Calf 36 x 40 ecm.  APR @ 1938",1829-1835,1829,1835,"Iredell County, North Carolina",643,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n643,1,3424,Male,USA,North America
"Davidson, James","Davidson, James","Davidson, James. Papers, 1773-1791.  New Windsor, Orange Co., N. Y. and Philadelphia, Philadelphia Co., Pennsylvania  Josiah C. Trent Collection in the 9 items History of Medicine--. Div.  48-60",1773-1791,1773,1791,"Philadelphia, Pennsylvania",644,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n644,1,3425,Male,USA,North America
"Davidson, James D.","Davidson, James D.","Davidson, James D. Papers, 1829(1836-1859)1878 Lexington, Rockbridge Co., Va.  222—- f 317 items 7=-9-59 1 item added 7-17-57  GUIDE",1836-1859,1836,1859,"Lexington, Va.",647,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n647,1,3426,Male,USA,North America
"Davidson, James Wood","Davidson, James Wood","DAVIDSON, James Wood Letters, 1856-93  Winnsboro, S. CG.  section A 3 typed copies",1856-93,1856,1893,Winnsboro,653,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n653,1,3427,Male,USA,North America
"Davidson, John","Davidson, John","Davidson, John  Papers, 1781-1794  Annapolis, Anne Arundel County, Section A 5 items  8-4-67  Md.",1781-1794,1781,1794,Md.,656,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n656,1,3428,Male,USA,North America
"Davidson, William","Davidson, William","Davidson, William (1778-1857) Papers, 1820 Charlotte, Mecklenburg Co., N.C.  Section A 1 item  11-28-77",1778-1857,1778,1857,"Charlotte, N.C.",658,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n658,1,3429,Male,USA,North America
"Davidson, William Lee","Davidson, William Lee","Davidson, William Lee  Papers, 1792-1794  Davidson's Creek, Iredell County[?], N. Cc.  Section A 3 items 2-28-63",1792-1794,1792,1794,"Creek, Iredell County",661,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n661,1,3430,Male,USA,North America
"Davie, Frederick William","Davie, Frederick William","886-888 © Davie, Frederick William  Account Books, 1850-1871 Charleston, Charleston Co., S. C. 1-21-42 3 vols.  (See also bound vol. cards)",1850-1871,1850,1871,Charleston,665,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n665,1,3431,Male,USA,North America
"Davie, Frederick William","Davie, Frederick William","141. Davie, Frederick William Davie, Mary F. (Fraser)  Account Book, 1851-1860 Charleston, S.C. 42pp. Paper 21lxldem,  Detailed account of household sundries and personal expenditures.",1851-1860,1851,1860,Charleston,668,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n668,1,3432,Male,USA,North America
"Davie, William Richardson","Davie, William Richardson","Davie, William Richardson  Papers, 1782-1799  Halifax, Halifax Co., N. C.  Section A 2 items 2 items added, 4-21-66 5-10-58 1 item transf. to John A. Chaloner ., 6-5-75 litem added, 2-6-78",1782-1799,1782,1799,,669,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n669,1,3433,Male,Unknown,Unknown
"Davies, C.A., And Company","Davies, C.A., And Company","Davies, C.A. and Company Journal, 1875-1877 Estate Account, 1878-1882  Ogdensburg, St. Lawrence County, New York  583 pv. Leather and Boards 36 x 23 cm.  11-30-65",1875-1877,1875,1877,"St. Lawrence County, New York",674,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n674,1,3434,Org.,USA,North America
"Davies, C.A., And Company","Davies, C.A., And Company","+ * 1 DRA _¢ Davies, Maria Dyer *WDRA as  W iat Wan, Vv a  Papers, 1850-1856  Macon, Noxubee County, Mississippi Cab. 80 1 volume 5-17-58  Recataloged, 9-6-84",1850-1856,1850,1856,"Macon, Noxubee County",677,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n677,1,3436,Org.,USA,North America
"Davis, A. B., and Co.","Davis, A. B., and Co.","Davis, A. B., and Co,  Papers, 1860-1880  Philadelphia, Pa.  Cab. $667 AUG 11 ‘50  wUIDE  (See also bound  vol. cards) ea",1860-1880,1860,1880,"Philadelphia, Pa., Cab",705,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n705,1,3439,Org.,USA,North America
"Davis, A. B., and Co.","Davis, A. B., and Co.","see  Davis, A. B., and Co.  Day book, 1861-1862. Philadelphia, Pennsylvania  5-5-50 9 1-2 x 14 1-2 em. (filed with pavers)  AUG 11 '50",1861-1862,1861,1862,"Philadelphia, Pennsylvania",707,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n707,1,3440,Org.,USA,North America
"Davis, Amanda","Davis, Amanda","Davis, Amanda Papers, 1812-1861 Boykéns Depot, Southampton Co., Va.  Section A 50 items",1812-1861,1812,1861,Va.,709,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n709,1,3441,Female,USA,North America
"Davis, B.P., And Brother","Davis, B.P., And Brother","Davis, B.eP., and Brother  Ledger, 1875-1880  Arcola, Warren County, North Carolina 145 pp. Boards 30 x 19 cm. 47-38  Recataloged, 12-22-65",1875-1880,1875,1880,"Warren County, North Carolina",711,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n711,1,3442,Male,USA,North America
"Davis, Charles W.","Davis, Charles W.","Davis, Charles W. Papers, 1845-1855  Baltimore, Md.  Section a  GUIDE @  8 items",1845-1855,1845,1855,"Baltimore, Md.",715,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n715,1,3444,Male,USA,North America
"Davis, Dolphin","Davis, Dolphin","Davis, Dolphin A. and John A. Matthews Letters. 1820-1829, Fayetteville, North Carolina  Section A 31 pieces Jan. 8, 1835.",1820-1829,1820,1829,"Fayetteville, North Carolina",718,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n718,1,3446,Unknown,USA,North America
"Davis, E A","Davis, E A","Davis, E A Letters, 1861-1865 Decatur, DeKalb County, Georgia  Section.A 10 pieces JUL 29 1940",1861-1865,1861,1865,"Decatur, DeKalb County, Georgia",720,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n720,1,3447,Male,USA,North America
"Davis, George","Davis, George","Davis, George  Papers, 1857 - 1874  Wilmington, New Hanover Co., N. C. Section A 1 item  1 item added, 1-18-61 11-1-60",1857 - 1874,1857,1874,,723,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n723,1,3449,Male,Unknown,Unknown
"Davis, George T.M","Davis, George T.M","Davis, George T.M. Papers, 1840-1841  Alton, Madison Co., Ill.  Section A 3 items  4-13-61",1840-1841,1840,1841,Ill.,726,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n726,1,3450,Male,USA,North America
"Davis, George W.","Davis, George W.","Davis, George W.  Account Book, 1875-1879 Recataloged as:  Davis, B. P., and Brother  Ledger, 1875-1880",1875-1879,1875,1879,,728,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n728,1,3451,Male,Unknown,Unknown
"Davis, Griffith J.","Davis, Griffith J.","Davis, Griffith J. Papers, 1947-1987. 450 items. (0.4 lin. ft.)  Shelf Location: 75-G  Photographer. -- 354 negatives, with contact prints and related materials, concerning Langston Hughes, Hale Woodruff, and Charles  Alston, all prominent black writers, poets, or artists, and the Palmer Memorial Institute, a private junior and senior high school for blacks in Sedalia, North Carolina. Items collected by Davis, the photographer. (continued on next card)",1947-1987,1947,1987,"Sedalia, North Carolina",729,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n729,1,3452,Male,USA,North America
"Davis, Isaac","Davis, Isaac","Davis, Isaac. Letters and Papers. 1782-1878  Stanardsville, Orange County, Va. 2 boxes. cab. 80 611 pieces.  Nov 5 1949",1782-1878,1782,1878,Orange County,734,173,https://archive.org/details/rubensteinmanuscriptcatalog_Cre_to_I._Davis/page/n734,1,3454,Male,USA,North America
"Davis, J. C.","Davis, J. C.","Davis», Je Ce  Papers, 1881-1908-  19 itemse  North Carolina justice of the peacee  Collection is mainly Legal papers and some receiptse There is one bound docket booke  Unprocessed collectione Cataloged sree accession recordse  cs  27 NOV 96 36009696 NDHYme",1881-1908,1881,1908,North Carolina,0,174,https://archive.org/details/rubensteinmanuscriptcatalog_J._Davis_to_Dek/page/n0,1,3455,Unknown,USA,North America
"Davis, Jasper","Davis, Jasper","Davis, Jasper Papers, 1834-1868  Halifax co., Va. (Entered in the National Union Catalog of  as Davis Family Papers) XIII - £ 2-26-52 165 items  1 item added 5-14-57 3 items added 4-15-67  GUID:",1834-1868,1834,1868,"Va., XIII",9,174,https://archive.org/details/rubensteinmanuscriptcatalog_J._Davis_to_Dek/page/n9,1,3458,Male,USA,North America
"Davis, Jefferson","Davis, Jefferson","e 2nd 68:L, OC:1:2 (7-26-78) Davis, Jefferson, 1808-1889. Letters, 1863-1864. 4 itemse UeSe Senator; UeSe Secretary of War, and president of the Confederate States of Americas; from Harrison County, Misse Two letters to Jefferson Davis: one  an unofficial message from General Braxton Bragg following the Battle of Murfreesboro in January, 1863, where he discusses the battle, the aftermath, reasons for morale problems, and assesses losses in killed, wounded and peared tes other letter is from  Genera e Ee Johnston, who discusses the supply sh ortage and possible departure rou® tes from Dalton, Gae Also inculdes an article on Davis NcD 199841116 #40329082 NDHYme SEE NEXT CRD",1808-1889,1808,1889,"Jefferson, the Confederate States of Americas, Harrison County, Misse, Dalton",14,174,https://archive.org/details/rubensteinmanuscriptcatalog_J._Davis_to_Dek/page/n14,1,3460,Male,USA,North America
"Davis, John, Jr.","Davis, John, Jr.","AUTOGRAPH FILE  Davis, John, Jr. Letters 1846-1865  Lexington, Fayette county. Missouri Section A 14 pieces",1846-1865,1846,1865,Lexington,31,174,https://archive.org/details/rubensteinmanuscriptcatalog_J._Davis_to_Dek/page/n31,1,3464,Male,USA,North America
"Davis, John Hobart","Davis, John Hobart","Davis, John Hobart 1843-1918.  Papers, 1832-1920.  400 items (1 Linear fteée)e  Union Army soldier of Portland, Mee  Chiefly Civil War correspondence between Davis and his sister, Elisa Ee Davis, with a few letters to other family members while serving with the 13th Maine Infantry at Camp Beaufort, Ship Island, Fte Jackson, Pass Manchacy, Fte Stephens, and Washington, DeCe Topics discussed include Davis* attitude toward Blacks, especially his prejudice toward Black officers, foraging raids behind enemy lines, and the Battle of Blair's Landing, as well as aspects of camp Lifee Some Letters are i Llustrated with maps or drawingse Included also -are  03 APR 87 15480665 NDHYme SEE NEXT CRD",1843-1918,1843,1918,"Portland, Ship Island, Washington",35,174,https://archive.org/details/rubensteinmanuscriptcatalog_J._Davis_to_Dek/page/n35,1,3465,Male,USA,North America
"Davis, Joseph","Davis, Joseph","Davis, Joseph Letters. 1859-1861  Leonardtown, St. Mary's Co., Md.  Section A 45 pieces",1859-1861,1859,1861,"Leonardtown, Md.",39,174,https://archive.org/details/rubensteinmanuscriptcatalog_J._Davis_to_Dek/page/n39,1,3467,Male,USA,North America
"Davis, Mrs. Julia Roxie","Davis, Mrs. Julia Roxie","Davis, Mrs. Julia Roxie Letters and papers, 1817-1898 Westminster, Guilford Co., N.C.  Cab. 79 208 items (In-box-with El4iz.—R.- Hargrove)  JUL l2 “46  GUIDE",1817-1898,1817,1898,"N.C., Cab",41,174,https://archive.org/details/rubensteinmanuscriptcatalog_J._Davis_to_Dek/page/n41,1,3468,Female,USA,North America
"Davis, Lois (Wright) Richardson","Davis, Lois (Wright) Richardson","Davis, Lois (Wright) Richardson  Papers, 1851-1881 Lowell, Middlesex Co., Massachusetts  2-F 543 items 6-7-77",1851-1881,1851,1881,Massachusetts,45,174,https://archive.org/details/rubensteinmanuscriptcatalog_J._Davis_to_Dek/page/n45,1,3471,Female,USA,North America
"Davis, M. A.","Davis, M. A.","e 6th 22:A Davis, Me Ae Ye: nat 1888, 1897, 1901-1902. We Virginia general merchante Three bound volumese Unprocessed collectione Cataloged oe accession recordse cs  27 NOV 96 36009665 NDHYme",1901-1902,1901,1902,Virginia,56,174,https://archive.org/details/rubensteinmanuscriptcatalog_J._Davis_to_Dek/page/n56,1,3472,Male,USA,North America
"Davis, Mary Miller","Davis, Mary Miller","Davis, Mary Miller Letters, (1849-1878) 1906 Richmond, Virginia  Cab. 63.31 99 items (i4n box with R.O. Linster)  JUL 12 ""46  GUIDE",1849-1878,1849,1878,"Richmond, Virginia",57,174,https://archive.org/details/rubensteinmanuscriptcatalog_J._Davis_to_Dek/page/n57,1,3473,Female,USA,North America
"Davis, Mary P.","Davis, Mary P.","Davis, Mary P.  Papers, 1861-1864  Patrick Springs, Patrick Co., Va. Section A 18 items  5-14-57  GUIDE",1861-1864,1861,1864,,61,174,https://archive.org/details/rubensteinmanuscriptcatalog_J._Davis_to_Dek/page/n61,1,3474,Female,Unknown,Unknown
"Davis, Matthew S., Jr.","Davis, Matthew S., Jr.","Davis, Matthew S., Jr.  Papers, 1859-1905  Louisburg, Franklin Co., N. C. Section A 17 items 12-18-59",1859-1905,1859,1905,,68,174,https://archive.org/details/rubensteinmanuscriptcatalog_J._Davis_to_Dek/page/n68,1,3475,Male,Unknown,Unknown
"Davis, Myra","Davis, Myra","Davis, Myra  Letters. 1877-1934.  El Oro, Mexico & v. p.  .-Section A 32 pieces",1877-1934,1877,1934,,71,174,https://archive.org/details/rubensteinmanuscriptcatalog_J._Davis_to_Dek/page/n71,1,3476,Female,Unknown,Unknown
"Davis, Nancy T","Davis, Nancy T","Davis, Nancy T Letters. 1827 - 1845 Morgan County, Georgia  Section A 2 pieces JUN 16 1941 1 item added 4-12-51",1827 - 1845,1827,1845,"Morgan County, Georgia",74,174,https://archive.org/details/rubensteinmanuscriptcatalog_J._Davis_to_Dek/page/n74,1,3477,Female,USA,North America
"Davis, S. D.","Davis, S. D.","£¢- 390 & Davis 8. D. (Dr. )  Account Book (Physician's) , 1855-1890 Vienna, Forsyth County, North Carolina  473 pp. Leather and Boards 38 x 15 com",1855-1890,1855,1890,"Vienna, Forsyth County, North Carolina",76,174,https://archive.org/details/rubensteinmanuscriptcatalog_J._Davis_to_Dek/page/n76,1,3478,Male,USA,North America
"Davis, Samuel","Davis, Samuel","D.5 Davis, Samuel  Letters and Seaman's Papers. 1794-1819.  Portsmouth, Virginia  is #, boxes. cab. .67 755 pieces  Jan.21, 1937 19 "" added Dec. 74 1935 No 13,19 41 4 4 ""7  “TIO",1794-1819,1794,1819,"Portsmouth, Virginia",77,174,https://archive.org/details/rubensteinmanuscriptcatalog_J._Davis_to_Dek/page/n77,1,3479,Male,USA,North America
"Davis, Solomon","Davis, Solomon","Davis, Solomon (b. 1774) Account Book, 1812-1826.  (Montgomery County, Md.]  380 pp. Boards 37 x 20 cm.  Apparently plantation records.  JUN 21 46  GUIDE &",1812-1826,1812,1826,"Montgomery County, Md.",81,174,https://archive.org/details/rubensteinmanuscriptcatalog_J._Davis_to_Dek/page/n81,1,3480,Male,USA,North America
